timestamp,site,connected,total,expected_total,status,note
2025-08-31 12:20:43,MaaleGilboa2,0,92,6,CHECK,Total mismatch (expected 6)
2025-08-31 12:20:58,KfarRupin,0,92,8,CHECK,Total mismatch (expected 8)
2025-08-31 12:21:12,Kisufim,0,92,79,CHECK,Total mismatch (expected 79)
2025-08-31 12:21:27,MaaleGilboa1,0,92,8,CHECK,Total mismatch (expected 8)
2025-08-31 12:21:41,Meirav,0,92,8,CHECK,Total mismatch (expected 8)
2025-08-31 12:21:56,Metronit,0,92,1,CHECK,Total mismatch (expected 1)
2025-08-31 12:22:10,Metronit1,0,92,4,CHECK,Total mismatch (expected 4)
2025-08-31 12:27:25,Warburg3,0,92,66,CHECK,Total mismatch (expected 66)
2025-08-31 12:27:38,Zikim,0,92,82,CHECK,Total mismatch (expected 82)
2025-08-31 12:27:52,Warburg2,0,92,92,WARN,Some disconnected
2025-08-31 12:28:06,Yahel,0,92,92,WARN,Some disconnected
2025-08-31 12:28:20,Tidhar,0,92,134,CHECK,Total mismatch (expected 134)
2025-08-31 12:28:33,AmHahita,0,92,2,CHECK,Total mismatch (expected 2)
2025-08-31 12:28:47,BeitAmpha,0,92,3,CHECK,Total mismatch (expected 3)
2025-08-31 12:29:01,EinYahav,0,92,80,CHECK,Total mismatch (expected 80)
2025-08-31 12:29:15,Gadot,0,92,121,CHECK,Total mismatch (expected 121)
2025-08-31 12:29:29,GesherWest,0,92,43,CHECK,Total mismatch (expected 43)
2025-08-31 12:29:43,Holit,0,92,30,CHECK,Total mismatch (expected 30)
2025-08-31 12:29:57,Gvaram,0,92,75,CHECK,Total mismatch (expected 75)
2025-08-31 12:30:10,Holata,0,92,95,CHECK,Total mismatch (expected 95)
2025-08-31 12:30:24,MaaleGilboa2,0,92,6,CHECK,Total mismatch (expected 6)
2025-08-31 12:30:38,KfarRupin,0,92,8,CHECK,Total mismatch (expected 8)
2025-08-31 12:30:52,Kisufim,0,92,79,CHECK,Total mismatch (expected 79)
2025-08-31 12:31:06,MaaleGilboa1,0,92,8,CHECK,Total mismatch (expected 8)
2025-08-31 12:31:20,Meirav,0,92,8,CHECK,Total mismatch (expected 8)
2025-08-31 12:31:35,Metronit,0,92,1,CHECK,Total mismatch (expected 1)
2025-08-31 12:31:50,Metronit1,0,92,4,CHECK,Total mismatch (expected 4)
2025-08-31 12:37:04,Warburg3,0,92,66,CHECK,Total mismatch (expected 66)
2025-08-31 12:37:18,Zikim,0,92,82,CHECK,Total mismatch (expected 82)
2025-08-31 12:37:33,Warburg2,0,92,92,WARN,Some disconnected
2025-08-31 12:37:47,Yahel,0,92,92,WARN,Some disconnected
2025-08-31 12:38:02,Tidhar,0,92,134,CHECK,Total mismatch (expected 134)
2025-08-31 12:38:17,AmHahita,0,92,2,CHECK,Total mismatch (expected 2)
2025-08-31 12:38:31,BeitAmpha,0,92,3,CHECK,Total mismatch (expected 3)
2025-08-31 12:38:46,EinYahav,0,92,80,CHECK,Total mismatch (expected 80)
2025-08-31 12:39:01,Gadot,0,92,121,CHECK,Total mismatch (expected 121)
2025-08-31 12:39:15,GesherWest,0,92,43,CHECK,Total mismatch (expected 43)
2025-08-31 12:39:30,Holit,0,92,30,CHECK,Total mismatch (expected 30)
2025-08-31 12:39:45,Gvaram,0,92,75,CHECK,Total mismatch (expected 75)
2025-08-31 12:40:00,Holata,0,92,95,CHECK,Total mismatch (expected 95)
2025-08-31 12:40:14,MaaleGilboa2,0,92,6,CHECK,Total mismatch (expected 6)
2025-08-31 12:40:29,KfarRupin,0,92,8,CHECK,Total mismatch (expected 8)
2025-08-31 12:40:44,Kisufim,0,92,79,CHECK,Total mismatch (expected 79)
2025-08-31 12:40:58,MaaleGilboa1,0,92,8,CHECK,Total mismatch (expected 8)
2025-08-31 12:41:13,Meirav,0,92,8,CHECK,Total mismatch (expected 8)
2025-08-31 12:41:28,Metronit,0,92,1,CHECK,Total mismatch (expected 1)
2025-08-31 12:41:43,Metronit1,0,92,4,CHECK,Total mismatch (expected 4)
2025-08-31 12:46:57,Warburg3,0,92,66,CHECK,Total mismatch (expected 66)
2025-08-31 12:47:12,Zikim,0,92,82,CHECK,Total mismatch (expected 82)
2025-08-31 12:47:27,Warburg2,0,92,92,WARN,Some disconnected
2025-08-31 12:47:41,Yahel,0,92,92,WARN,Some disconnected
2025-08-31 12:47:56,Tidhar,0,92,134,CHECK,Total mismatch (expected 134)
2025-08-31 12:48:11,AmHahita,0,92,2,CHECK,Total mismatch (expected 2)
2025-08-31 12:48:25,BeitAmpha,0,92,3,CHECK,Total mismatch (expected 3)
